person_id,loan_id,cb_id,person_id,person_age,person_income,person_home_ownership,person_emp_length,loan_id,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_id,cb_person_default_on_file,cb_person_cred_hist_length
QW5FluDv-mkAu,rL2cQQyu-pB7q,9TNMw8Os-skxC,QW5FluDv-mkAu,29,42000,Rent,6,rL2cQQyu-pB7q,Debtconsolidation,D,10800,16.29,1,0.26,9TNMw8Os-skxC,Y,7
cwE00aXR-xcvB,5NjX5S97-TCiF,Eu0yP7NC-1KnS,cwE00aXR-xcvB,26,125000,Mortgage,3,5NjX5S97-TCiF,Education,D,24000,15.28,0,0.19,Eu0yP7NC-1KnS,Y,4
swD1qZgq-m9U7,7cRrd7d0-fD40,GUSpAcv9-7ieh,swD1qZgq-m9U7,35,45000,Rent,3,7cRrd7d0-fD40,Medical,B,12000,11.26,0,0.27,GUSpAcv9-7ieh,N,5
gQAvtxjX-rnUB,xsPorGPJ-4iPt,RyIJUaNA-J2gv,gQAvtxjX-rnUB,35,15000,Own,3,xsPorGPJ-4iPt,Homeimprovement,A,3700,9.32,1,0.25,RyIJUaNA-J2gv,N,6
AwHiHsuk-qM7x,TeetcMwg-7ktF,oQjXsdAl-eZaz,AwHiHsuk-qM7x,30,31200,Rent,0,TeetcMwg-7ktF,Personal,E,12000,16.45,1,0.38,oQjXsdAl-eZaz,Y,7
6yctOAr1-3yEA,0esFvozg-7Kbj,tnAmvUyh-AXOS,6yctOAr1-3yEA,31,28800,Rent,1,0esFvozg-7Kbj,Venture,B,5000,9.25,0,0.17,tnAmvUyh-AXOS,N,7
vWRwUjCi-5xBU,59INIdvR-OkCs,UFX8ZBbZ-qf4O,vWRwUjCi-5xBU,25,97000,Rent,0,59INIdvR-OkCs,Venture,A,6600,NULL,0,0.07,UFX8ZBbZ-qf4O,N,2
w0vtaZ0N-M9BM,2nIHWaHU-GLTG,CeJY6joH-rwfN,w0vtaZ0N-M9BM,22,78000,Mortgage,6,2nIHWaHU-GLTG,Education,B,18000,10.99,0,0.23,CeJY6joH-rwfN,N,3
EqSK3wR5-5wUl,sE1Rgz5F-mQES,9XJ0mIfM-06U5,EqSK3wR5-5wUl,30,67092,Rent,0,sE1Rgz5F-mQES,Debtconsolidation,C,9000,12.87,0,0.13,9XJ0mIfM-06U5,N,8
KAD5PNy1-PPsP,xLmE3rFu-j5LC,cMv4jYNe-g9dD,KAD5PNy1-PPsP,40,15600,Own,2,xLmE3rFu-j5LC,Education,D,4000,15.7,1,0.26,cMv4jYNe-g9dD,Y,13
z8PFOjYR-iFSn,02YfiQCN-1kxz,7gYXIOx1-Eebd,z8PFOjYR-iFSn,43,25000,Mortgage,10,02YfiQCN-1kxz,Education,B,10000,9.62,0,0.4,7gYXIOx1-Eebd,N,17
AKBlTxfA-uQm8,xKUIm9Qr-4dFw,5yocnBct-w3Jd,AKBlTxfA-uQm8,24,43500,Rent,1,xKUIm9Qr-4dFw,Personal,A,3000,8,0,0.07,5yocnBct-w3Jd,N,2
wEp57UeY-FCBD,DjqX0YGS-lXWz,b5rknE2C-lGQ5,wEp57UeY-FCBD,30,72000,Rent,5,DjqX0YGS-lXWz,Venture,D,25000,16.32,1,0.35,b5rknE2C-lGQ5,Y,5
kmjPdtGT-H3oe,4ImiFiZA-dawC,W9yS6gXz-t0ot,kmjPdtGT-H3oe,26,132750,Mortgage,8,4ImiFiZA-dawC,Homeimprovement,B,12000,11.49,0,0.09,W9yS6gXz-t0ot,N,4
Bf509Rfd-9M3o,zmpxugeK-X6lt,CHogzmWD-RQAR,Bf509Rfd-9M3o,22,45000,Rent,0,zmpxugeK-X6lt,Personal,A,10500,6.99,0,0.23,CHogzmWD-RQAR,N,2
yLmFAAys-MA28,kNEUsUob-kF4H,Xggu2D8p-jaiX,yLmFAAys-MA28,27,25000,Rent,9,kNEUsUob-kF4H,Venture,C,2000,13.11,0,0.08,Xggu2D8p-jaiX,Y,6
Tvswnl3A-SFbq,CAiLDi99-7Ygn,JWRWUf7t-XwXO,Tvswnl3A-SFbq,30,90000,Mortgage,5,CAiLDi99-7Ygn,Personal,B,7500,10.71,0,0.08,JWRWUf7t-XwXO,N,5
SvglzctZ-5tWM,Rp0ci1B0-krkq,20StgsPf-M1Ue,SvglzctZ-5tWM,22,100000,Mortgage,0,Rp0ci1B0-krkq,Venture,C,15000,13.85,0,0.15,20StgsPf-M1Ue,N,3
D8U70APL-hy7a,cDnI9KwX-seeG,KcaZjwFB-60Xg,D8U70APL-hy7a,28,70000,Mortgage,2,cDnI9KwX-seeG,Venture,A,5600,6.62,0,0.08,KcaZjwFB-60Xg,N,5
INkEF4a2-P3u9,LirBtryD-C6sy,fSmdnKrp-twI5,INkEF4a2-P3u9,36,43000,Rent,12,LirBtryD-C6sy,Debtconsolidation,D,13600,15.58,1,0.32,fSmdnKrp-twI5,Y,12
MuLxNnOl-1Otj,taKRSj2f-tSu9,hYQCSgkC-YW2H,MuLxNnOl-1Otj,30,36000,Mortgage,9,taKRSj2f-tSu9,Education,B,1750,11.11,0,0.05,hYQCSgkC-YW2H,N,8
jqGYdbIU-8xiP,IvBqrHan-uFw7,FPTi0peH-udmc,jqGYdbIU-8xiP,25,45000,Rent,0,IvBqrHan-uFw7,Personal,C,14500,13.16,1,0.32,FPTi0peH-udmc,N,2
X58sNYrA-wT4H,0ry7Qgsd-mrqK,yhX6s49g-YFzD,X58sNYrA-wT4H,22,66000,Rent,6,0ry7Qgsd-mrqK,Education,C,25000,13.06,1,0.38,yhX6s49g-YFzD,Y,3
QyAiwQbW-ZM8q,7H1eL9o5-HouN,AG8Txls6-hJ5F,QyAiwQbW-ZM8q,36,36000,Rent,3,7H1eL9o5-HouN,Debtconsolidation,B,2500,9.76,0,0.07,AG8Txls6-hJ5F,N,12
aynsMlti-y3Mm,WhpYr3Sx-OYWY,JycXaZLe-3qbK,aynsMlti-y3Mm,42,600000,Other,2,WhpYr3Sx-OYWY,Homeimprovement,D,25000,14.74,0,0.04,JycXaZLe-3qbK,Y,16
74oj0tKW-bOb4,2tSf6D2y-S2XA,CnRfOGM8-1z2f,74oj0tKW-bOb4,22,31200,Mortgage,NULL,2tSf6D2y-S2XA,,A,25000,15.58,0,0.11,CnRfOGM8-1z2f,Y,15
RphDkQzK-l0NA,RCLrbR7q-Lq3F,ZTEO1PSe-Nt9J,RphDkQzK-l0NA,28,130000,Own,10,RCLrbR7q-Lq3F,Education,B,24000,11.83,0,0.18,ZTEO1PSe-Nt9J,N,10
yln6RylN-ZwwL,m4JE5Tem-Aosz,bIeDcHr3-T1fk,yln6RylN-ZwwL,32,82000,Mortgage,13,m4JE5Tem-Aosz,Personal,B,10000,10.36,0,0.12,bIeDcHr3-T1fk,N,9
U0SRBGCi-CrCR,oiBIfm4l-dhrh,sZ7a0KIF-u5Fu,U0SRBGCi-CrCR,29,35000,Rent,6,oiBIfm4l-dhrh,Medical,B,7300,11.71,0,0.21,sZ7a0KIF-u5Fu,N,9
nAityj0Q-syCI,5TuUEHJu-tSbs,HPkcv4Ar-gz3r,nAityj0Q-syCI,35,19820,Rent,0,5TuUEHJu-tSbs,Personal,B,4000,11.12,1,0.2,HPkcv4Ar-gz3r,N,10
aAaaQZq3-QDpF,BmIbjZ6N-OtmD,ZbH7Qvtt-nGYa,aAaaQZq3-QDpF,29,108000,Mortgage,13,BmIbjZ6N-OtmD,Debtconsolidation,A,3500,6.76,0,0.03,ZbH7Qvtt-nGYa,N,5
n9r7abcW-qbTq,p4OOR5zE-ZPvu,95ZbjrAA-jxi2,n9r7abcW-qbTq,22,51500,Mortgage,NULL,p4OOR5zE-ZPvu,Education,B,NULL,16.07,0,0.12,95ZbjrAA-jxi2,N,2
jvdlhvRc-OBtn,H3LqrcOn-8c5F,bZfxDATl-ehUf,jvdlhvRc-OBtn,25,11000,Rent,3,H3LqrcOn-8c5F,Medical,B,3400,NULL,1,0.31,bZfxDATl-ehUf,N,2
POONhWpl-j724,XDy8D8c6-alO3,JUrOLJ8d-EO0u,POONhWpl-j724,26,34656,Own,2,XDy8D8c6-alO3,Personal,A,5500,7.51,0,0.16,JUrOLJ8d-EO0u,N,2
JMsbJPg6-eLk6,P9CDj6Sj-Xu1Y,IEMzIqZc-oJBW,JMsbJPg6-eLk6,25,32400,Rent,1,P9CDj6Sj-Xu1Y,Education,C,2000,14.35,1,0.06,IEMzIqZc-oJBW,N,2
rfcaeuD2-UMsA,HlHnKQnd-b2an,YeOUI7ES-konK,rfcaeuD2-UMsA,33,NULL,Mortgage,6,HlHnKQnd-b2an,Medical,,3900,10.99,0,0.09,YeOUI7ES-konK,N,2
EcY1bf0z-gizS,WTuPn5z1-HTIA,JMGQBSyt-c9nF,EcY1bf0z-gizS,24,42200,Rent,5,WTuPn5z1-HTIA,,A,2425,11.49,0,0.03,JMGQBSyt-c9nF,,8
GSDycLnJ-69xs,zuP1FLDd-j39B,FRNv1S6f-PuTP,GSDycLnJ-69xs,27,76000,Mortgage,11,zuP1FLDd-j39B,Debtconsolidation,A,12000,NULL,0,0.16,FRNv1S6f-PuTP,N,6
4pveLPG2-WLpj,kqySRbYQ-ZU44,p8EJcOEG-YSPz,4pveLPG2-WLpj,29,99000,Rent,NULL,kqySRbYQ-ZU44,Homeimprovement,C,5000,NULL,0,0.11,p8EJcOEG-YSPz,N,4
O4GKW8yr-c00p,TOL70hGg-Asys,mnnrQWXE-iHiu,O4GKW8yr-c00p,33,54000,Mortgage,3,TOL70hGg-Asys,Education,F,16000,18.67,1,0.3,mnnrQWXE-iHiu,Y,10
3os7zqrW-88lK,0BQdDDo5-xbNg,WrJi7D26-MslY,3os7zqrW-88lK,36,20004,Rent,1,0BQdDDo5-xbNg,Venture,B,4375,10.74,0,0.22,WrJi7D26-MslY,N,17
xmKS3MAC-w1Lk,0f7tyrrw-Kwp5,1wRjxlfv-ufcW,xmKS3MAC-w1Lk,26,45000,Rent,5,0f7tyrrw-Kwp5,Medical,B,2000,11.49,0,0.04,1wRjxlfv-ufcW,N,3
j8D4Ueti-IEmW,UDuG6qyx-vS9a,006sNB1n-wNqM,j8D4Ueti-IEmW,23,34560,Mortgage,1,UDuG6qyx-vS9a,Medical,B,10000,10.59,0,0.29,006sNB1n-wNqM,N,2
jZLYpN5X-IMnn,jUJK4KkH-Dmse,T7WB8IE1-E8R7,jZLYpN5X-IMnn,25,84000,Rent,2,jUJK4KkH-Dmse,Venture,A,6000,8.94,0,0.07,T7WB8IE1-E8R7,N,2
tWrKnC1p-xGbX,J9Q38z3T-U3bU,D4d0S8L9-pN6q,tWrKnC1p-xGbX,NULL,39996,Rent,2,J9Q38z3T-U3bU,Debtconsolidation,C,7500,NULL,0,0.14,D4d0S8L9-pN6q,N,6
4kftWZJc-Hhqz,HvsxBbMH-X6iC,fwMeLeeT-7iCc,4kftWZJc-Hhqz,24,56000,Rent,3,HvsxBbMH-X6iC,Education,D,20000,14.61,1,0.36,fwMeLeeT-7iCc,Y,4
LRhobcuq-m96u,ZpDRUJez-h0xe,xTsKQhD6-ewKW,LRhobcuq-m96u,22,48000,Rent,0,ZpDRUJez-h0xe,Education,A,1000,7.29,0,0.02,xTsKQhD6-ewKW,N,2
LJsvjgdP-299E,Hz3glDd1-7Jq5,2iJxKDiU-0UUz,LJsvjgdP-299E,27,54000,Rent,1,Hz3glDd1-7Jq5,Homeimprovement,C,5400,14.27,0,0.1,2iJxKDiU-0UUz,N,6
GIJ435AZ-T163,7bAbNfmK-pAgE,eTF6IJQR-EtGc,GIJ435AZ-T163,21,40116,Rent,2,7bAbNfmK-pAgE,Venture,A,6500,5.79,0,0.16,eTF6IJQR-EtGc,N,3
bnxEDLUX-xysd,oSJWTL7Q-TIFC,mmeq3HwI-05tt,bnxEDLUX-xysd,26,36000,Rent,NULL,oSJWTL7Q-TIFC,Venture,A,5400,8.9,0,0.15,mmeq3HwI-05tt,N,2
vGsZULvj-NSpt,Xxa9RjpA-dcnA,DXopBeZ6-0PSn,vGsZULvj-NSpt,43,74000,Mortgage,5,Xxa9RjpA-dcnA,Medical,B,11000,9.91,0,0.15,DXopBeZ6-0PSn,N,15
QkjAFv5X-zR7F,gFOEoDLu-ecEx,1RynY0W1-iFpu,QkjAFv5X-zR7F,23,96000,Mortgage,2,gFOEoDLu-ecEx,Personal,A,7000,5.79,0,0.07,1RynY0W1-iFpu,N,3
XOvw4KhS-CiPk,gSsHEvAa-NQPp,ExDXDbJy-vqsJ,XOvw4KhS-CiPk,23,48000,Mortgage,7,gSsHEvAa-NQPp,Debtconsolidation,B,2500,11.71,0,0.05,ExDXDbJy-vqsJ,N,3
l10NJ7NY-xfai,GE07JZCZ-zDev,EpXbi4yc-i80Z,l10NJ7NY-xfai,27,45727,Mortgage,5,GE07JZCZ-zDev,Venture,D,1000,16.29,0,0.02,EpXbi4yc-i80Z,N,5
pK04qR8n-NbU6,v01zfjvM-nIgf,0il3ku6H-wcYP,pK04qR8n-NbU6,31,39000,Rent,0,v01zfjvM-nIgf,Venture,D,2500,14.09,1,0.06,0il3ku6H-wcYP,N,5
JhxcLDYI-EdfI,DTpQN0ii-kSyG,vRBP0QWC-0LI3,JhxcLDYI-EdfI,25,NULL,Mortgage,8,DTpQN0ii-kSyG,Venture,A,NULL,11.86,0,0.28,vRBP0QWC-0LI3,N,6
wQsGDFci-K2G8,0R65EUJu-5daA,HDjQOQkM-kyag,wQsGDFci-K2G8,34,135000,Mortgage,18,0R65EUJu-5daA,Education,A,8000,9.32,0,0.06,HDjQOQkM-kyag,N,6
JvOTazhp-gmKq,weSSzQw6-jSIO,1tBhFeND-y7n4,JvOTazhp-gmKq,22,42000,Rent,1,weSSzQw6-jSIO,Medical,B,10000,12.42,0,0.24,1tBhFeND-y7n4,N,4
kewXpiUp-jnm0,x1spAXaQ-cnRw,rtTX2iD2-TUIx,kewXpiUp-jnm0,26,18000,Rent,2,x1spAXaQ-cnRw,Debtconsolidation,C,8500,14.27,1,0.47,rtTX2iD2-TUIx,N,3
nNoHfyD7-6jHF,JMRDkMJ1-R8wn,bcInSthq-USpL,nNoHfyD7-6jHF,30,75000,Own,0,JMRDkMJ1-R8wn,Education,A,10000,7.88,0,0.13,bcInSthq-USpL,N,5
sioxr2r4-JWOX,aiQkuxaA-0fK4,bIifgsI7-a4Zh,sioxr2r4-JWOX,36,40000,Own,0,aiQkuxaA-0fK4,Personal,A,5000,8,0,0.13,bIifgsI7-a4Zh,N,16
WB9YiD35-9yL6,GJY59Lsb-zGMG,yKLtaZ9x-hp5s,WB9YiD35-9yL6,28,58650,Rent,13,GJY59Lsb-zGMG,Medical,B,20000,10.59,1,0.29,yKLtaZ9x-hp5s,N,8
h23MXyyP-F2cb,HslpDvCo-mSm9,3uMwFrFx-RzYf,h23MXyyP-F2cb,27,48000,Rent,4,HslpDvCo-mSm9,Debtconsolidation,B,4200,10.74,0,0.09,3uMwFrFx-RzYf,N,5
o5kYtjHG-hd5M,qFhCRdDO-ogbo,gplWjN6x-s1x8,o5kYtjHG-hd5M,21,51000,Rent,5,qFhCRdDO-ogbo,Venture,D,1600,15.62,1,0.03,gplWjN6x-s1x8,N,4
OdEbAieD-bfE5,SGgk6QCe-CouT,2Dtr25Y4-2tPh,OdEbAieD-bfE5,24,75000,Mortgage,8,SGgk6QCe-CouT,Debtconsolidation,C,12000,12.61,0,0.16,2Dtr25Y4-2tPh,N,4
nZ1PHkY4-ZoSP,9KQS1oYd-8CgJ,FhwGT8HP-Lr70,nZ1PHkY4-ZoSP,24,108000,Mortgage,8,9KQS1oYd-8CgJ,Debtconsolidation,A,4200,NULL,0,0.04,FhwGT8HP-Lr70,N,3
AfuqjjQB-wMHC,mcvjly77-4xBi,YyKILplE-RBnr,AfuqjjQB-wMHC,28,88365,Rent,9,mcvjly77-4xBi,Education,D,12000,16.29,0,0.14,YyKILplE-RBnr,N,6
ChSfWSgP-7abf,jJhKwGTX-POmd,htSXjsoU-CnXC,ChSfWSgP-7abf,26,55000,Rent,2,jJhKwGTX-POmd,Education,B,14000,9.99,0,0.25,htSXjsoU-CnXC,N,4
psYQpSnn-zKDo,QtrXTHZc-9dKi,p1uykZxa-DP35,psYQpSnn-zKDo,24,115154,Rent,8,QtrXTHZc-9dKi,Homeimprovement,C,3000,14.27,0,0.03,p1uykZxa-DP35,N,2
j3DGPxpS-Wyzt,pjyZKrQq-rlwZ,UXkHmmqa-nHdy,j3DGPxpS-Wyzt,30,125000,Mortgage,14,pjyZKrQq-rlwZ,Venture,C,7000,NULL,0,0.06,UXkHmmqa-nHdy,N,7
m3DxImBz-WIiO,qUtrFD0W-5zaK,RCnQ6j24-31Rl,m3DxImBz-WIiO,28,85000,Mortgage,8,qUtrFD0W-5zaK,Personal,A,12500,7.49,0,0.15,RCnQ6j24-31Rl,N,7
qglicrhs-g0Jd,NXyr8ovy-rAdi,uA0CcJ2T-3G5e,qglicrhs-g0Jd,22,35000,Mortgage,6,NXyr8ovy-rAdi,Education,B,3500,11.48,0,0.1,uA0CcJ2T-3G5e,N,4
1eqTt4k7-Cb8v,hIObz5Dx-zKlP,whd1R4nU-ML1o,1eqTt4k7-Cb8v,23,75000,Rent,0,hIObz5Dx-zKlP,Personal,B,10000,11.49,0,0.13,whd1R4nU-ML1o,N,2
vSjKjGSm-L67Y,qOyuj0FW-HPdl,7AWGtrPA-qhF1,vSjKjGSm-L67Y,28,39600,Rent,11,qOyuj0FW-HPdl,Education,B,1500,12.69,0,0.04,7AWGtrPA-qhF1,N,5
SI8OIPJb-bOiT,7y968J7E-zLAY,P83KJHU2-QIeO,SI8OIPJb-bOiT,21,90000,Rent,2,7y968J7E-zLAY,Venture,B,3300,11.71,0,0.04,P83KJHU2-QIeO,N,4
WO5TJi8n-1cBT,OdXjTU3G-XJ3k,SarA2bx0-qnir,WO5TJi8n-1cBT,32,84000,Mortgage,15,OdXjTU3G-XJ3k,Medical,A,15000,6.91,0,0.18,SarA2bx0-qnir,N,7
Ptphxb4L-j9ZC,6daMW8QB-OmdG,2FZFuBgo-4gUZ,Ptphxb4L-j9ZC,28,100000,Mortgage,3,6daMW8QB-OmdG,Medical,C,8000,13.98,0,0.08,2FZFuBgo-4gUZ,Y,6
WWRpF9Rv-00lp,Ph9HsFOJ-qJSX,TzBJioal-umfG,WWRpF9Rv-00lp,32,27000,Rent,2,Ph9HsFOJ-qJSX,Medical,C,6000,12.73,0,0.22,TzBJioal-umfG,N,10
rfb33oD5-xnid,AcPlTlkt-ANQF,vMDflHvo-St29,rfb33oD5-xnid,22,33600,Rent,6,AcPlTlkt-ANQF,Personal,D,9000,NULL,1,0.27,vMDflHvo-St29,N,4
14IZUNkb-6IsY,AkhkxXdW-1kvN,33mvzoy1-q9LC,14IZUNkb-6IsY,34,67000,Rent,7,AkhkxXdW-1kvN,Education,B,20000,11.71,0,0.3,33mvzoy1-q9LC,N,9
Z0WyOqii-2yWH,lc3q211z-jtAA,0RbABgqz-CA3X,Z0WyOqii-2yWH,22,46200,Rent,0,lc3q211z-jtAA,Venture,A,10000,7.29,0,0.22,0RbABgqz-CA3X,N,3
vjEcHCFA-2tn6,qhBkc7jE-H9jj,mb3n61Nx-x6UI,vjEcHCFA-2tn6,22,72204,Rent,2,qhBkc7jE-H9jj,Personal,C,6700,13.47,0,0.09,mb3n61Nx-x6UI,N,3
pSNAFWbi-ToBB,pYvB8rNk-JYAE,wUFTBpYD-WML1,pSNAFWbi-ToBB,34,75000,Mortgage,14,pYvB8rNk-JYAE,Medical,B,10000,11.11,0,0.13,wUFTBpYD-WML1,N,10
JGBjDgjR-zlhy,x5L8gNy8-W1sK,KXBxeSun-u3KL,JGBjDgjR-zlhy,24,29000,Rent,2,x5L8gNy8-W1sK,Medical,D,2500,NULL,1,0.09,KXBxeSun-u3KL,N,4
p3qItZGC-nbRk,kEwyz2mN-DBT8,fBqokylK-U7Wb,p3qItZGC-nbRk,26,40200,Rent,1,kEwyz2mN-DBT8,Education,A,4000,6.76,0,0.1,fBqokylK-U7Wb,N,4
ILYPREKu-cmP9,8jOPzj4k-bEPo,bC7S00pK-DnjX,ILYPREKu-cmP9,24,55800,Mortgage,0,8jOPzj4k-bEPo,Venture,A,3200,7.68,0,0.06,bC7S00pK-DnjX,N,3
4cXxo4e3-Xwvk,Tj0xeNk6-Tw3q,r0uTAeDw-69tM,4cXxo4e3-Xwvk,31,20000,Own,3,Tj0xeNk6-Tw3q,Personal,B,5000,11.83,0,0.25,r0uTAeDw-69tM,N,7
xQ9Z4nG5-Pxsb,JIRNlXod-r5UQ,PC9bjsdm-9m4M,xQ9Z4nG5-Pxsb,24,62000,Mortgage,1,JIRNlXod-r5UQ,Medical,A,20000,NULL,0,0.32,PC9bjsdm-9m4M,N,4
dvWoelWQ-cc6r,JLKLCis8-MqSH,KLC8Aayg-8ftZ,dvWoelWQ-cc6r,23,48645,Rent,1,JLKLCis8-MqSH,Venture,B,12000,10.25,0,0.25,KLC8Aayg-8ftZ,N,4
Kw1eJGID-ptWX,mKdgsthz-vjYD,kS85jZm2-Ol2s,Kw1eJGID-ptWX,22,43000,Mortgage,3,mKdgsthz-vjYD,Venture,A,2600,NULL,0,0.06,kS85jZm2-Ol2s,N,4
UrIfwapa-ZE5g,HtBnrP2l-TKFB,Y6XuhDsW-Pz2G,UrIfwapa-ZE5g,26,92000,Mortgage,0,HtBnrP2l-TKFB,Debtconsolidation,B,5600,11.46,0,0.06,Y6XuhDsW-Pz2G,N,3
KUhHhy17-oPP0,GS4NfYh4-16Yy,gB6jYv7f-3nXL,KUhHhy17-oPP0,27,32000,Rent,2,GS4NfYh4-16Yy,Medical,D,8600,16.02,1,0.27,gB6jYv7f-3nXL,Y,6
DendRAeN-ikha,FoKaE46Y-l2PJ,hFoi17CN-Mtah,DendRAeN-ikha,24,93000,Rent,2,FoKaE46Y-l2PJ,Homeimprovement,B,2100,9.91,1,0.02,hFoi17CN-Mtah,N,2
i1cx3PxO-2vHX,6RS2SzYu-bfZy,lAFgrLi0-as8C,i1cx3PxO-2vHX,31,59000,Mortgage,2,6RS2SzYu-bfZy,Debtconsolidation,B,13000,11.14,0,0.22,lAFgrLi0-as8C,N,7
H44F31ap-IJ85,xHcsaRmw-AhhN,019OCLFU-xKsN,H44F31ap-IJ85,32,49000,Rent,2,xHcsaRmw-AhhN,Homeimprovement,B,12000,11.11,1,0.24,019OCLFU-xKsN,N,9
6KeD803G-esjg,64xabghl-kfYh,joQyF1rk-hDhz,6KeD803G-esjg,27,51600,Rent,2,64xabghl-kfYh,Venture,C,13800,13.57,1,0.27,joQyF1rk-hDhz,Y,6
kTaC1iLp-7ypN,AiZLnTu8-0Qjr,3BbNueLa-0sKm,kTaC1iLp-7ypN,25,65000,Rent,4,AiZLnTu8-0Qjr,Homeimprovement,C,15000,13.49,0,0.23,3BbNueLa-0sKm,Y,3
lbkvs9nm-DbD1,kYeThBq8-GXwm,1YDvByed-mMir,lbkvs9nm-DbD1,32,45000,Mortgage,2,kYeThBq8-GXwm,Personal,C,8000,14.65,0,0.18,1YDvByed-mMir,N,8
5cami8gq-avFI,b3BuLK6e-HWbi,9Yn62aKR-1IBk,5cami8gq-avFI,25,49716,Mortgage,6,b3BuLK6e-HWbi,Medical,A,8000,9.32,0,0.16,9Yn62aKR-1IBk,N,2
BrZdarX8-dz9k,QJgsobrS-DkhQ,w5NocSRf-58N6,BrZdarX8-dz9k,26,30000,Own,0,QJgsobrS-DkhQ,Homeimprovement,C,15000,13.22,0,0.5,w5NocSRf-58N6,Y,2
ezhaxwpm-szL9,Fd24qbcg-TrOJ,uJ8q7cqk-RKmJ,ezhaxwpm-szL9,33,110000,Rent,3,Fd24qbcg-TrOJ,Venture,C,10000,13.57,0,0.09,uJ8q7cqk-RKmJ,Y,9
yY1ji7CA-fb7J,cu3YaQiE-PQqb,Ct5K4ekP-of6g,yY1ji7CA-fb7J,27,79000,Mortgage,4,cu3YaQiE-PQqb,Personal,A,9000,6.76,0,0.11,Ct5K4ekP-of6g,N,10
4D5X2AYT-fP3Y,fcvpXJJ7-DrJT,eaXPYhhA-sA7S,4D5X2AYT-fP3Y,22,26400,Rent,6,fcvpXJJ7-DrJT,Education,B,1500,11.11,0,0.06,eaXPYhhA-sA7S,N,3
CQfWG65x-x3zX,4AjxHXse-1Nf6,yP0OC2qE-aHrx,CQfWG65x-x3zX,22,39000,Rent,6,4AjxHXse-1Nf6,Homeimprovement,C,6000,13.22,1,0.15,yP0OC2qE-aHrx,Y,2
2GUFa9Kw-oCGZ,2hkSQ3SQ-IlJx,aYyPXJ0b-W9Qy,2GUFa9Kw-oCGZ,24,32000,Mortgage,5,2hkSQ3SQ-IlJx,Homeimprovement,A,6000,5.42,0,0.19,aYyPXJ0b-W9Qy,N,4
mYYOkcyH-WEzQ,B43JaKJ8-idbN,S75CCvoi-JcQ6,mYYOkcyH-WEzQ,30,62000,Rent,1,B43JaKJ8-idbN,Medical,C,7000,14.27,0,0.11,S75CCvoi-JcQ6,Y,5
nT5tacO4-sq9X,semjvIMF-FIiD,KQsT0sIs-hibO,nT5tacO4-sq9X,27,57504,Mortgage,11,semjvIMF-FIiD,Medical,B,17000,12.18,1,0.3,KQsT0sIs-hibO,N,8
JPuHshMH-GPYk,Tlshryxp-i5ND,Lza2472j-eGf9,JPuHshMH-GPYk,23,30000,Rent,8,Tlshryxp-i5ND,Education,A,10625,6.92,1,0.35,Lza2472j-eGf9,N,4
QPCPNIao-tyOH,s1pqQnsf-lxWS,HyiovXrQ-biJY,QPCPNIao-tyOH,31,75000,Mortgage,3,s1pqQnsf-lxWS,Venture,F,8000,18.21,0,0.11,HyiovXrQ-biJY,Y,7
FNRjnRQx-32Bi,AU7hjhNa-8mnc,NXjt6KNg-YGe6,FNRjnRQx-32Bi,24,31200,Rent,3,AU7hjhNa-8mnc,Medical,C,1950,13.11,0,0.06,NXjt6KNg-YGe6,Y,4
Fa5ESs8M-JHkv,5Mlrx0MF-7si3,UbGobaXM-2pkL,Fa5ESs8M-JHkv,23,85000,Mortgage,1,5Mlrx0MF-7si3,Venture,B,10000,10.36,0,0.12,UbGobaXM-2pkL,N,4
ExPF3SnM-Cm3k,Yo6L4BXZ-lSCB,63BOY8O0-4Iq5,ExPF3SnM-Cm3k,24,83000,Rent,8,Yo6L4BXZ-lSCB,Personal,D,9000,15.05,1,0.11,63BOY8O0-4Iq5,Y,3
ULkMi0Dd-FHUs,D94xw3EA-6nxn,k4sM8Jo5-FN1c,ULkMi0Dd-FHUs,38,53052,Rent,0,D94xw3EA-6nxn,Medical,B,8000,NULL,0,0.15,k4sM8Jo5-FN1c,N,13
DKbKyfKr-wl9r,Yg0xlNsE-tUdw,v0qv64EY-Bg3h,DKbKyfKr-wl9r,24,62400,Mortgage,3,Yg0xlNsE-tUdw,Education,A,9500,6.54,0,0.15,v0qv64EY-Bg3h,N,2
hKxE238W-WW6z,LHPROcLo-eBYf,0223JIDc-1Y78,hKxE238W-WW6z,30,45000,Rent,11,LHPROcLo-eBYf,Medical,C,5000,12.73,1,0.11,0223JIDc-1Y78,Y,8
NpAxUIZr-6PCU,lbrUMgQH-6QPU,5u60PuTg-xYhU,NpAxUIZr-6PCU,27,105000,Mortgage,3,lbrUMgQH-6QPU,Education,C,25000,12.23,0,0.24,5u60PuTg-xYhU,N,5
srP8ShmH-h4QY,YajyJunY-auwp,X7LQqKJI-X8AS,srP8ShmH-h4QY,24,83100,Rent,5,YajyJunY-auwp,Personal,E,5000,16.35,0,0.06,X7LQqKJI-X8AS,Y,3
5N9KvArA-uiLb,vTYPB64N-n37i,lqUy9gBA-KNqP,5N9KvArA-uiLb,29,33000,Rent,5,vTYPB64N-n37i,Homeimprovement,A,8000,5.79,1,0.24,lqUy9gBA-KNqP,N,8
